Ground Truth,Prediction,WER,CER
وولاد فرانسا هم الذين غزو الافلان وساندهم أناس أغبياء جهال من المجاهدين المشهورين. إذن أقوى لك كن الصواب 100% أن يدخل لافلان للمتحف، لأنك لا تعلم ولا تعرف إلى أي طريق أدى الافلان الجزاءر، لقد رضاها في أحضان فرنسا.,ويلاد فرنسه حمول لدينا غزول فلان واسم اتنا دهم ونسون اربيه وجوحه حال من المجهدين المشهورين ethan لك كن الصواب 10 ان يتخلي لفلان لمتحفي لانك لا تعلموا ولا تعرفوا الي اي طريق ادي لفلان الجزائره لقد رضاه في احدان فرنسه,0.8461538461538461,0.3192488262910798
Je crois vraiment que tu as la dalle Sayi samhoha kaml nghlto yak ❤😤😤😤😤😤,żuków rejmą tej tu ازلاد السي سمه كمل אינגhltoyak خلب احمر نظره انتصار نظره انتصار نظره انتصار نظره انتصار نظره انتصار,1.5,1.4305555555555556
من كفرا مسلم فقد كفر من قال لا إله إلا الله دخل الجنة هذا مو قولي انا هذا قول نبينا محمد صلى الله عليه وسلم اذا عندك عقل فكر ولا تتركه مرتاح,من كفر مسلمون فقد كفر من قال لئله الا اله دخل الجنه هذا موق ان هذا قول نبينا محمد صلي اله عليه وصل ميضا عندك عق you وكر ولا ترك ومرتاح,0.59375,0.20714285714285716
دق الماني للترجمة الله على كنت فتى بريي اتمنى انك بقيت كذلك لكن المشكل ناس بسياراتهم يطوفون على الاقامة مثل كحجاج الجاهلية يصفقون يصفرون للات العزى لا اظن انهم لا يمتلكون وظايف اظنهم يمتلكون كلشي بما في ذلك الوظيفة المال حتى الزوجة,bye قلماني لترجم اله علي كنت فتني بريون التمني انا كبقيتك كذلك لكن المشكل ناس بسياراتهم يطفون علي القامه مثل كحجاج الجهليتي يصفقنا يصفرنا لات العزنه لقدني انهم لا يمتلكون وظيف اضنهم يمتلكون god night can she ما في ذلك الوضيفه المال حتي الزوجتي,0.7142857142857143,0.2597402597402597
مشكل البلاد و العباد ينتل بقرارات جديدة تكون في مصلحة المواطن وليس بوجوه جديدة و قرارات قديمة,مشكل البلادي والعباد ينتلوا بقرارات جديده تكون في مصلاحه المواطنه وليس بوجه جديده وقرارات قديمه,0.7058823529411765,0.12903225806451613
دعواتكم لفلسطين وغزة💔🇵🇸💔🇵🇸💔🇵🇸 البقرة لوريا 🐄 ادعولي بنجاح 😹😹😹,دعوهل تكوم لفيلوست ou à rezata خلبون مكسورون علي ملاراضي الفلص تنيه قلب مكسور علي ملاراضي الفلص قلب مكسور علي ملاراضي الفلسطينيه البقره العويه بقره العولي بنجاح دموعه الفرحيد وفرحيد وفرحيد وفرحيد,3.4444444444444446,2.557377049180328
وجهك درك حتى للاكسيدون مايصلحش . مش التمثيل,واجه درك حد لكسدون ماي صلاحش mişat dun fil,1.0,0.4883720930232558
جنوب افريقيا دولة متقدمة مشي من العالم الثالث يا خرا،تفو كلشي رديء في الجزائر !!!!!,جنوب افريقيا دوله متقدمه مشي من العالمث alice يا خرا تفوك الشيرا دي ونفلجزائه,0.6666666666666666,0.3253012048192771
كل يوم نستنا استقالته لكن مزالك برك تشرك في فمك حمار,con la y aumina estanas تقال تهلاكن مزالك بركن تشرك في فمك حمارون,0.8181818181818182,0.5192307692307693
لا آمل في الأصلاح ما دام عسكر فرنسا ماسك لزمام الأمور ، المجد والخلود للعرش العلوي المجيــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــد,لا املو في الاصلاح ماذا معز كروف رنسه ماسي كن لزمام العموري المجد والخلوض لعرش العلويه almejido,0.8235294117647058,0.6331360946745562
